,English,Japanese,Spanish,Chinese,Ch_Prns
dog,dog,犬,perro,狗,Gǒu
犬,dog,犬,perro,狗,Gǒu
狗,dog,犬,Perro,狗,Gǒu
Perro,Dog,犬,Perro,狗,Gǒu
猫,Cat,猫,Gato,猫,Māo
cat,cat,ネコ,gato,猫,Māo
gato,cat,猫,gato,猫,Māo
鳥,bird,鳥,Pájaro,鸟,Niǎo
bird,bird,鳥,pájaro,鸟,Niǎo
鸟,bird,バード,Pájaro,鸟,Niǎo
Pájaro,Bird,バード,Pájaro,鸟,Niǎo
馬,horse,馬,caballo,马,Mǎ
horse,horse,うま,caballo,马,Mǎ
马,horse,馬,caballo,马,Mǎ
caballo,horse,馬,caballo,马,Mǎ
羊,sheep,羊,Ovejas,羊,Yáng
sheep,sheep,羊,oveja,羊,Yáng
oveja,sheep,羊,oveja,羊,Yáng
熊,Bear,熊,Oso,熊,Xióng
bear,bear,くま,oso,熊,Xióng
くま,Bear,くま,Oso,熊,Xióng
クマ,bear,クマ,oso,熊,Xióng
いぬ,Dog,いぬ,Perro,狗,Gǒu
イヌ,Dog,イヌ,Perro,狗,Gǒu
ねこ,Cat,ねこ,Gato,猫,Māo
ネコ,cat,ネコ,gato,猫,māo
とり,bird,とり,Pájaro,鸟,Niǎo
トリ,bird,トリ,Pájaro,鸟,Niǎo
うま,Horse,うま,caballo,马,Mǎ
ウマ,horse,ウマ,caballo,马,mǎ
ひつじ,sheep,ひつじ,oveja,羊,yáng
イルカ,Dolphin,イルカ,Delfín,海豚,Hǎitún
dolphin,dolphin,イルカ,delfín,海豚,Hǎitún
海豚,dolphin,イルカ,Delfín,海豚,Hǎitún
クジラ,whale,クジラ,ballena,鲸,Jīng
鯨,whale,鯨,ballena,鲸,Jīng
whale,whale,鯨,ballena,鲸,Jīng
山羊,goat,山羊,cabra,山羊,Shānyáng
goat,goat,ヤギ,cabra,山羊,Shānyáng
ヤギ,Goat,ヤギ,cabra,山羊,Shānyáng
魚,fish,魚,Pescado,鱼,Yú
さかな,Fish,さかな,Pescado,鱼,Yú
fish,fish,魚,Pescado,鱼,Yú
牛,Cattle,牛,Vaca,牛,Niú
beef,beef,牛肉,carne de vaca,牛肉,Niúròu
牛肉,beef,牛肉,Carne de vaca,牛肉,Niúròu
cattle,cattle,牛,ganado,牛,niú
豚,Pig,豚,cerdo,豚,Tún
ぶた,pig,ぶた,cerdo,豚,Tún
豚肉,pork,豚肉,cerdo,猪肉,Zhūròu
pork,pork,豚肉,Cerdo,猪肉,Zhūròu
猪肉,pork,豚肉,cerdo,猪肉,Zhūròu
鶏肉,chicken,鶏肉,Carne de pollo,鸡肉,Jīròu
chicken,chicken,チキン,pollo,鸡肉,Jīròu
チキン,chicken,チキン,Pollo,鸡肉,Jīròu
ポーク,pork,ポーク,cerdo,猪肉,Zhūròu
ビーフ,beef,ビーフ,Carne de vaca,牛肉,Niúròu
野菜,Vegetables,野菜,Vegetales,蔬菜,Shūcài
vegetables,vegetables,野菜,vegetales,蔬菜,Shūcài
やさい,Vegetables,やさい,Vegetales,蔬菜,Shūcài
蔬菜,vegetables,野菜,Vegetales,蔬菜,Shūcài
卵,egg,卵,huevo,卵,Luǎn
egg,egg,卵,huevo,卵,Luǎn
玉葱,onion,玉葱,cebolla,葱,Cōng
onion,onion,玉ねぎ,cebolla,葱,cōng
玉ねぎ,onion,玉ねぎ,cebolla,葱,Cōng
たまねぎ,Onion,たまねぎ,cebolla,葱,Cōng
人参,carrot,人参,Zanahoria,人参,Rénshēn
carrot,carrot,にんじん,Zanahoria,人参,Rénshēn
にんじん,Carrot,にんじん,zanahoria,人参,Rénshēn
マッシュルーム,mushroom,マッシュルーム,Seta,蘑菇,Mógū
mushroom,mushroom,キノコ,seta,蘑菇,Mógū
蘑菇,mushroom,きのこ,Seta,蘑菇,Mógū
きのこ,mushroom,きのこ,Setas,蘑菇,Mógū
きゃべつ,Cabbage,きゃべつ,col,卷心菜,Juǎnxīncài
卷心菜,Cabbage,キャベツ,col,卷心菜,Juǎnxīncài
キャベツ,cabbage,キャベツ,col,卷心菜,Juǎnxīncài
じゃがいも,Potato,じゃがいも,Papa,土豆,Tǔdòu
potato,potato,じゃがいも,papa,土豆,Tǔdòu
ジャガイモ,potato,ジャガイモ,Papa,土豆,Tǔdòu
土豆,potato,ジャガイモ,Papa,土豆,Tǔdòu
トマト,Tomato,トマト,tomate,番茄,Fānqié
tomato,tomato,トマト,tomate,番茄,Fānqié
番茄,tomato,トマト,tomate,番茄,Fānqié
盗む,steal,盗む,Robar,偷,Tōu
熱が出る,I get a fever,熱が出る,Me da fiebre,我发烧了,Wǒ fāshāole
苦い,bitter,苦い,Amargo,苦,Kǔ
姉,older sister,姉,hermana,姐姐,Jiějiě
おねえちゃん,Older sister,おねえちゃん,Hermana,姐姐,Jiějiě
姐姐,older Sister,おねえちゃん,Hermana,姐姐,Jiějiě
older sister,older sister,お姉さん,hermana,姐姐,Jiějiě
おねえさん,older sister,おねえさん,Hermana,姐姐,Jiějiě
姉さん,older sister,姉さん,Hermana,姐姐,Jiějiě
ねえさん,older sister,ねえさん,Hermana,姐姐,Jiějiě
妹,younger sister,妹,Hermana,妹妹,Mèimei
妹妹,younger sister,妹,Hermana,妹妹,Mèimei
お兄さん,older brother,お兄さん,Hermano,哥哥,Gēgē
おにいさん,older brother,おにいさん,Hermano,哥哥,Gēgē
お兄ちゃん,older brother,お兄ちゃん,Hermano,哥哥,Gēgē
おにいちゃん,Older brother,おにいちゃん,Hermano,哥哥,Gēgē
売る,sell,売る,Vender,卖,Mài
卖,Sell,売る,Vender,卖,Mài
Sell,Sell,売る,Vender,卖,Mài
sell,sell,売る,vender,卖,Mài
おなかがすく,I am hungry,おなかがすく,Tener hambre,饿了,Èle
お腹が空く,I am hungry,お腹が空く,Tengo hambre,我很饿,Wǒ hěn è
I am hungry,I am hungry,お腹が空きました,Estoy hambriento,我饿了,
饿,hungry,飢えた,Hambriento,饿,È
こんにちは,Hello,こんにちは,Hola,您好,Nín hǎo
おはようございます,Good morning,おはようございます,Buenos dias,早上好。,Zǎoshang hǎo.
さようなら,goodbye,さようなら,adiós,再见,Zàijiàn
goodbye,goodbye,さようなら,adiós,再见,Zàijiàn
再见,Goodbye,さようなら,Adios,再见,Zàijiàn
あなた,you,あなた,Usted,您,Nín
のちほど,Later,のちほど,Despues,后来,Hòulái
後程,Later,後程,Despues,后来,Hòulái
later,later,後,luego,后来,Hòulái
今日,today,今日,Hoy,今日,Jīnrì
today,today,今日,hoy,今天,Jīntiān
tomorrow,tomorrow,明日,mañana,明天,Míngtiān
明日,tomorrow,明日,Mañana,明日,Míngrì
yesterday,yesterday,昨日,ayer,昨天,Zuótiān
昨日,Yesterday,昨日,Ayer,昨日,Zuórì
this,this,この,esta,这个,Zhège
この,this,この,Esto,此,Cǐ
これ,this,これ,Esto,此,Cǐ
这个,This one,これ,Esto,这个,Zhège
here,here,ここに,aquí,这里,Zhèlǐ
ここ,here,ここ,Aquí,这里,Zhèlǐ
